#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  16400      3.42e+00    4.03e+00      6.75e-02    9.08e-02      1.12e-01    1.32e-01    9.3e-04
  16500      2.01e+00    3.02e+00      7.03e-03    1.56e-01      6.60e-02    9.77e-02    9.3e-04
  16600      4.70e+00    4.25e+00      9.06e-02    7.97e-02      1.54e-01    1.39e-01    9.3e-04
  16700      2.99e+00    3.26e+00      4.00e-02    4.18e-02      9.81e-02    1.07e-01    9.3e-04
  16800      4.48e+00    4.43e+00      1.41e-01    1.41e-01      1.46e-01    1.45e-01    9.3e-04
  16900      3.27e+00    2.60e+00      1.23e-02    1.14e-02      1.07e-01    8.53e-02    9.3e-04
  17000      2.52e+00    2.98e+00      3.74e-02    3.92e-02      8.25e-02    9.78e-02    9.3e-04
  17100      2.41e+00    2.26e+00      7.26e-02    2.65e-02      7.88e-02    7.41e-02    9.3e-04
  17200      2.10e+00    1.87e+00      6.37e-02    6.75e-02      6.85e-02    6.10e-02    9.3e-04
  17300      2.48e+00    2.54e+00      8.80e-02    4.86e-02      8.07e-02    8.31e-02    9.3e-04
  17400      1.75e+00    1.98e+00      3.02e-03    1.13e-01      5.75e-02    6.41e-02    9.3e-04
  17500      5.33e+00    5.41e+00      2.02e-01    1.35e-01      1.74e-01    1.77e-01    9.3e-04
  17600      2.51e+00    2.20e+00      2.36e-02    2.64e-02      8.23e-02    7.23e-02    9.3e-04
  17700      2.47e+00    2.84e+00      4.45e-02    3.96e-02      8.08e-02    9.32e-02    9.3e-04
  17800      1.99e+00    2.17e+00      8.04e-02    5.15e-02      6.47e-02    7.10e-02    9.3e-04
  17900      2.28e+00    1.84e+00      7.48e-02    1.15e-02      7.41e-02    6.02e-02    9.3e-04
  18000      1.64e+00    1.99e+00      2.74e-02    2.81e-02      5.37e-02    6.53e-02    9.3e-04
  18100      1.80e+00    1.89e+00      7.94e-02    9.80e-02      5.86e-02    6.12e-02    9.3e-04
