#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
1183700      5.71e-02    5.94e-02      8.04e-05    7.18e-04      2.89e-02    2.99e-02    2.9e-06
1183800      5.61e-02    6.47e-02      4.89e-04    9.03e-04      2.82e-02    3.24e-02    2.9e-06
1183900      5.83e-02    6.08e-02      4.84e-04    8.90e-04      2.93e-02    3.05e-02    2.9e-06
1184000      6.54e-02    6.03e-02      6.18e-04    7.99e-04      3.29e-02    3.03e-02    2.9e-06
1184100      6.19e-02    6.08e-02      4.92e-04    9.67e-04      3.12e-02    3.04e-02    2.9e-06
1184200      5.67e-02    5.59e-02      9.19e-04    6.08e-04      2.82e-02    2.81e-02    2.9e-06
1184300      6.42e-02    5.67e-02      1.65e-03    1.15e-03      3.14e-02    2.81e-02    2.9e-06
1184400      5.56e-02    5.91e-02      1.48e-03    7.65e-04      2.70e-02    2.97e-02    2.9e-06
1184500      6.42e-02    6.59e-02      7.57e-04    1.47e-03      3.22e-02    3.25e-02    2.9e-06
1184600      8.06e-02    6.19e-02      1.40e-03    7.44e-04      4.00e-02    3.11e-02    2.9e-06
1184700      5.62e-02    6.53e-02      5.81e-04    6.95e-04      2.83e-02    3.29e-02    2.9e-06
1184800      6.64e-02    6.10e-02      1.11e-03    7.16e-04      3.31e-02    3.07e-02    2.9e-06
1184900      6.95e-02    5.94e-02      1.29e-03    6.88e-04      3.45e-02    2.99e-02    2.9e-06
1185000      6.16e-02    6.07e-02      4.40e-04    7.65e-04      3.14e-02    3.08e-02    2.8e-06
1185100      7.99e-02    7.24e-02      2.59e-03    2.03e-03      3.80e-02    3.55e-02    2.8e-06
1185200      5.73e-02    5.66e-02      5.70e-04    4.81e-04      2.91e-02    2.88e-02    2.8e-06
1185300      6.65e-02    9.02e-02      1.69e-03    2.18e-03      3.27e-02    4.46e-02    2.8e-06
1185400      1.47e-01    6.18e-02      5.72e-04    6.25e-04      7.52e-02    3.14e-02    2.8e-06
1185500      6.54e-02    5.91e-02      7.52e-04    9.86e-04      3.32e-02    2.98e-02    2.8e-06
1185600      6.08e-02    8.99e-02      9.71e-04    9.83e-04      3.05e-02    4.56e-02    2.8e-06
1185700      5.90e-02    9.07e-02      7.12e-04    1.43e-03      2.98e-02    4.57e-02    2.8e-06
1185800      5.68e-02    5.81e-02      3.44e-04    6.29e-04      2.89e-02    2.95e-02    2.8e-06
1185900      6.12e-02    6.18e-02      8.92e-04    6.25e-04      3.07e-02    3.14e-02    2.8e-06
1186000      5.68e-02    6.48e-02      9.39e-04    1.09e-03      2.86e-02    3.26e-02    2.8e-06
1186100      6.88e-02    6.17e-02      1.06e-03    1.10e-03      3.43e-02    3.10e-02    2.8e-06
1186200      5.50e-02    6.34e-02      6.54e-04    7.23e-04      2.78e-02    3.22e-02    2.8e-06
1186300      6.17e-02    5.82e-02      5.18e-04    1.09e-03      3.13e-02    2.92e-02    2.8e-06
1186400      8.68e-02    6.74e-02      6.81e-04    1.55e-03      4.42e-02    3.35e-02    2.8e-06
1186500      6.14e-02    6.05e-02      4.97e-04    7.24e-04      3.12e-02    3.07e-02    2.8e-06
1186600      5.70e-02    5.94e-02      4.56e-04    8.06e-04      2.90e-02    3.00e-02    2.8e-06
1186700      6.18e-02    7.33e-02      9.96e-04    1.04e-03      3.10e-02    3.71e-02    2.8e-06
1186800      5.83e-02    5.62e-02      5.92e-04    9.52e-04      2.96e-02    2.83e-02    2.8e-06
1186900      6.16e-02    6.56e-02      1.56e-04    8.01e-04      3.15e-02    3.33e-02    2.8e-06
1187000      9.25e-02    6.10e-02      5.66e-04    7.79e-04      4.72e-02    3.09e-02    2.8e-06
1187100      5.20e-02    6.38e-02      4.83e-04    1.17e-03      2.64e-02    3.20e-02    2.8e-06
1187200      6.03e-02    6.53e-02      7.42e-04    1.20e-03      3.06e-02    3.28e-02    2.8e-06
1187300      6.38e-02    6.28e-02      9.84e-04    1.37e-03      3.20e-02    3.13e-02    2.8e-06
1187400      7.13e-02    5.94e-02      1.73e-03    1.15e-03      3.51e-02    2.98e-02    2.8e-06
1187500      8.50e-02    6.37e-02      7.93e-04    1.88e-03      4.32e-02    3.10e-02    2.8e-06
1187600      6.90e-02    6.15e-02      1.31e-03    7.43e-04      3.46e-02    3.12e-02    2.8e-06
1187700      6.32e-02    6.03e-02      4.84e-04    5.10e-04      3.22e-02    3.07e-02    2.8e-06
1187800      5.82e-02    6.26e-02      1.36e-03    2.07e-03      2.89e-02    3.02e-02    2.8e-06
1187900      5.85e-02    6.17e-02      1.18e-03    1.04e-03      2.91e-02    3.11e-02    2.8e-06
1188000      6.28e-02    6.37e-02      1.23e-03    1.08e-03      3.12e-02    3.21e-02    2.8e-06
1188100      5.20e-02    5.64e-02      3.73e-04    6.14e-04      2.65e-02    2.87e-02    2.8e-06
1188200      6.27e-02    5.97e-02      1.16e-03    1.83e-03      3.14e-02    2.89e-02    2.8e-06
1188300      5.16e-02    9.87e-02      8.26e-04    1.17e-03      2.58e-02    5.01e-02    2.8e-06
1188400      6.36e-02    6.14e-02      6.68e-04    5.71e-04      3.22e-02    3.12e-02    2.8e-06
1188500      6.41e-02    6.14e-02      7.60e-04    8.15e-04      3.25e-02    3.11e-02    2.8e-06
1188600      6.57e-02    6.03e-02      5.30e-04    6.19e-04      3.35e-02    3.06e-02    2.8e-06
1188700      5.43e-02    6.03e-02      2.31e-04    7.36e-04      2.77e-02    3.06e-02    2.8e-06
1188800      5.34e-02    9.15e-02      2.62e-04    9.48e-04      2.73e-02    4.65e-02    2.8e-06
1188900      6.89e-02    6.44e-02      1.22e-03    1.08e-03      3.45e-02    3.24e-02    2.8e-06
1189000      6.57e-02    6.39e-02      8.27e-04    9.08e-04      3.31e-02    3.23e-02    2.8e-06
1189100      6.23e-02    5.74e-02      5.04e-04    6.92e-04      3.17e-02    2.91e-02    2.8e-06
1189200      6.30e-02    6.34e-02      1.05e-03    5.08e-04      3.16e-02    3.23e-02    2.8e-06
1189300      7.07e-02    6.13e-02      1.08e-03    1.35e-03      3.57e-02    3.05e-02    2.8e-06
1189400      6.15e-02    5.90e-02      1.02e-03    1.15e-03      3.08e-02    2.95e-02    2.8e-06
1189500      5.88e-02    5.85e-02      1.21e-03    7.03e-04      2.93e-02    2.97e-02    2.8e-06
1189600      1.62e-01    1.04e-01      2.45e-03    1.22e-03      8.15e-02    5.29e-02    2.8e-06
1189700      5.87e-02    5.89e-02      1.47e-03    1.19e-03      2.90e-02    2.94e-02    2.8e-06
1189800      6.41e-02    6.27e-02      3.06e-04    5.43e-04      3.27e-02    3.19e-02    2.8e-06
1189900      5.23e-02    6.29e-02      1.01e-03    1.05e-03      2.61e-02    3.17e-02    2.8e-06
1190000      5.98e-02    5.58e-02      8.60e-04    4.94e-04      3.04e-02    2.87e-02    2.8e-06
1190100      5.99e-02    5.97e-02      1.73e-04    5.99e-04      3.09e-02    3.07e-02    2.8e-06
1190200      5.71e-02    5.90e-02      3.63e-04    8.58e-04      2.94e-02    3.01e-02    2.8e-06
1190300      6.49e-02    6.10e-02      1.09e-03    8.51e-04      3.30e-02    3.11e-02    2.8e-06
1190400      5.82e-02    1.04e-01      4.46e-04    1.26e-03      2.99e-02    5.31e-02    2.8e-06
1190500      6.27e-02    5.77e-02      7.88e-04    1.02e-03      3.20e-02    2.93e-02    2.8e-06
1190600      6.43e-02    8.54e-02      1.18e-03    1.31e-03      3.23e-02    4.35e-02    2.8e-06
1190700      6.17e-02    5.79e-02      1.48e-03    1.36e-03      3.05e-02    2.90e-02    2.8e-06
1190800      6.78e-02    1.18e-01      1.35e-03    1.46e-03      3.41e-02    6.05e-02    2.8e-06
1190900      5.68e-02    1.10e-01      4.65e-04    8.04e-04      2.91e-02    5.65e-02    2.8e-06
1191000      5.98e-02    6.22e-02      1.12e-03    8.81e-04      3.00e-02    3.17e-02    2.8e-06
1191100      5.64e-02    5.84e-02      7.41e-04    1.18e-03      2.88e-02    2.95e-02    2.8e-06
1191200      6.85e-02    5.82e-02      8.71e-04    6.00e-04      3.50e-02    2.99e-02    2.8e-06
1191300      6.03e-02    6.27e-02      7.44e-04    9.35e-04      3.09e-02    3.19e-02    2.8e-06
1191400      3.95e-01    5.86e-02      4.55e-03    6.40e-04      2.03e-01    3.00e-02    2.8e-06
1191500      6.22e-02    6.15e-02      7.22e-04    3.79e-04      3.18e-02    3.17e-02    2.8e-06
1191600      5.98e-02    1.44e-01      7.83e-04    3.56e-03      3.04e-02    7.20e-02    2.8e-06
1191700      6.15e-02    5.82e-02      2.05e-03    2.08e-03      2.96e-02    2.80e-02    2.8e-06
1191800      6.53e-02    5.88e-02      1.04e-03    8.60e-04      3.32e-02    3.00e-02    2.8e-06
1191900      6.25e-02    5.90e-02      1.13e-03    1.31e-03      3.15e-02    2.97e-02    2.8e-06
1192000      5.22e-02    6.08e-02      3.93e-04    7.99e-04      2.68e-02    3.11e-02    2.8e-06
1192100      8.34e-02    5.82e-02      3.41e-04    7.67e-04      4.30e-02    2.97e-02    2.8e-06
1192200      6.29e-02    5.54e-02      4.56e-04    8.14e-04      3.23e-02    2.83e-02    2.8e-06
1192300      5.17e-02    5.51e-02      4.34e-04    9.63e-04      2.66e-02    2.79e-02    2.8e-06
1192400      5.71e-02    5.98e-02      6.71e-04    9.09e-04      2.92e-02    3.05e-02    2.8e-06
1192500      7.40e-02    5.59e-02      8.65e-04    9.67e-04      3.79e-02    2.84e-02    2.8e-06
1192600      5.59e-02    6.48e-02      4.35e-04    4.51e-04      2.87e-02    3.34e-02    2.8e-06
1192700      8.53e-02    5.72e-02      2.10e-03    1.47e-03      4.25e-02    2.85e-02    2.8e-06
1192800      5.72e-02    6.04e-02      1.20e-03    8.68e-04      2.87e-02    3.08e-02    2.8e-06
1192900      6.21e-02    6.21e-02      2.04e-04    6.79e-04      3.20e-02    3.18e-02    2.8e-06
1193000      5.71e-02    6.10e-02      6.91e-04    4.92e-04      2.92e-02    3.13e-02    2.8e-06
1193100      5.94e-02    5.90e-02      1.26e-03    9.18e-04      2.99e-02    3.00e-02    2.8e-06
1193200      6.58e-02    5.72e-02      6.10e-04    6.46e-04      3.37e-02    2.93e-02    2.8e-06
1193300      6.30e-02    6.70e-02      1.14e-03    1.19e-03      3.16e-02    3.40e-02    2.8e-06
1193400      6.10e-02    5.42e-02      3.51e-04    8.59e-04      3.14e-02    2.76e-02    2.8e-06
1193500      5.70e-02    5.64e-02      9.25e-04    8.30e-04      2.89e-02    2.87e-02    2.8e-06
1193600      5.39e-02    6.46e-02      6.11e-04    8.17e-04      2.75e-02    3.30e-02    2.8e-06
1193700      5.55e-02    5.55e-02      6.29e-04    5.24e-04      2.84e-02    2.85e-02    2.8e-06
1193800      6.30e-02    6.09e-02      7.56e-04    3.73e-04      3.21e-02    3.13e-02    2.8e-06
1193900      7.52e-02    7.83e-02      2.77e-03    3.71e-03      3.59e-02    3.54e-02    2.8e-06
1194000      6.56e-02    5.76e-02      6.11e-04    9.10e-04      3.36e-02    2.93e-02    2.8e-06
1194100      6.47e-02    5.93e-02      7.74e-04    8.26e-04      3.29e-02    3.03e-02    2.8e-06
1194200      5.97e-02    5.99e-02      2.48e-04    6.72e-04      3.07e-02    3.07e-02    2.8e-06
1194300      5.65e-02    6.30e-02      6.26e-04    7.88e-04      2.89e-02    3.23e-02    2.8e-06
1194400      5.36e-02    6.44e-02      8.39e-04    5.60e-04      2.73e-02    3.31e-02    2.8e-06
1194500      6.89e-02    5.49e-02      6.23e-04    2.38e-04      3.54e-02    2.83e-02    2.8e-06
1194600      6.02e-02    5.52e-02      3.23e-04    5.40e-04      3.09e-02    2.83e-02    2.8e-06
1194700      6.03e-02    6.38e-02      8.08e-04    9.33e-04      3.08e-02    3.26e-02    2.8e-06
1194800      6.76e-02    6.14e-02      1.14e-03    6.42e-04      3.42e-02    3.15e-02    2.8e-06
1194900      6.85e-02    6.03e-02      5.49e-04    6.49e-04      3.52e-02    3.09e-02    2.8e-06
1195000      5.84e-02    5.48e-02      6.84e-04    8.31e-04      3.01e-02    2.82e-02    2.7e-06
1195100      6.67e-02    1.24e-01      1.11e-03    3.43e-03      3.41e-02    6.21e-02    2.7e-06
1195200      5.70e-02    6.05e-02      6.13e-04    7.22e-04      2.93e-02    3.13e-02    2.7e-06
1195300      5.29e-02    5.89e-02      3.76e-04    7.28e-04      2.75e-02    3.04e-02    2.7e-06
1195400      6.31e-02    8.20e-02      1.77e-04    1.02e-03      3.28e-02    4.24e-02    2.7e-06
1195500      5.58e-02    9.44e-02      5.67e-04    9.55e-04      2.89e-02    4.89e-02    2.7e-06
1195600      6.34e-02    2.11e-01      1.42e-03    8.01e-03      3.17e-02    1.01e-01    2.7e-06
1195700      6.33e-02    5.76e-02      4.13e-04    6.06e-04      3.29e-02    2.98e-02    2.7e-06
1195800      7.73e-02    6.16e-02      7.00e-04    1.27e-03      4.01e-02    3.13e-02    2.7e-06
1195900      6.69e-02    6.11e-02      1.48e-03    1.61e-03      3.38e-02    3.06e-02    2.7e-06
1196000      6.21e-02    5.80e-02      8.28e-04    6.59e-04      3.19e-02    3.00e-02    2.7e-06
1196100      6.08e-02    5.96e-02      7.19e-04    6.89e-04      3.13e-02    3.08e-02    2.7e-06
1196200      6.11e-02    6.04e-02      1.59e-04    6.73e-04      3.18e-02    3.12e-02    2.7e-06
1196300      6.06e-02    5.65e-02      8.34e-04    7.17e-04      3.09e-02    2.92e-02    2.7e-06
1196400      5.11e-02    5.86e-02      3.37e-04    7.88e-04      2.65e-02    3.02e-02    2.7e-06
1196500      6.07e-02    6.75e-02      9.76e-04    1.18e-03      3.11e-02    3.46e-02    2.7e-06
1196600      6.74e-02    6.13e-02      5.63e-04    9.69e-04      3.49e-02    3.15e-02    2.7e-06
1196700      5.35e-02    6.42e-02      3.06e-04    1.35e-03      2.78e-02    3.27e-02    2.7e-06
1196800      6.58e-02    5.75e-02      1.23e-03    6.65e-04      3.31e-02    2.97e-02    2.7e-06
1196900      1.10e-01    1.07e-01      7.91e-03    8.22e-03      3.70e-02    3.47e-02    2.7e-06
1197000      5.49e-02    6.43e-02      5.75e-04    6.92e-04      2.83e-02    3.33e-02    2.7e-06
1197100      6.50e-02    5.97e-02      6.62e-04    6.49e-04      3.35e-02    3.09e-02    2.7e-06
1197200      6.17e-02    6.18e-02      1.95e-03    2.62e-03      3.03e-02    2.89e-02    2.7e-06
1197300      5.72e-02    8.95e-02      4.47e-04    1.18e-03      2.97e-02    4.61e-02    2.7e-06
1197400      5.48e-02    6.26e-02      2.89e-04    6.07e-04      2.85e-02    3.24e-02    2.7e-06
1197500      5.35e-02    5.47e-02      5.43e-04    4.26e-04      2.77e-02    2.84e-02    2.7e-06
1197600      6.21e-02    5.59e-02      5.90e-04    8.86e-04      3.21e-02    2.87e-02    2.7e-06
1197700      6.64e-02    5.71e-02      4.87e-04    5.12e-04      3.44e-02    2.96e-02    2.7e-06
1197800      5.91e-02    5.81e-02      8.82e-04    8.72e-04      3.03e-02    2.99e-02    2.7e-06
1197900      6.10e-02    5.85e-02      4.32e-04    4.73e-04      3.16e-02    3.03e-02    2.7e-06
1198000      5.90e-02    5.42e-02      5.00e-04    6.59e-04      3.06e-02    2.80e-02    2.7e-06
1198100      5.74e-02    5.61e-02      3.79e-04    5.01e-04      2.98e-02    2.91e-02    2.7e-06
1198200      6.72e-02    5.69e-02      7.40e-04    4.21e-04      3.48e-02    2.95e-02    2.7e-06
1198300      6.39e-02    5.85e-02      6.55e-04    5.56e-04      3.29e-02    3.03e-02    2.7e-06
1198400      5.95e-02    5.94e-02      8.92e-04    6.25e-04      3.05e-02    3.07e-02    2.7e-06
1198500      5.78e-02    6.01e-02      1.53e-03    1.65e-03      2.85e-02    3.00e-02    2.7e-06
1198600      5.59e-02    6.58e-02      2.81e-04    7.55e-04      2.90e-02    3.40e-02    2.7e-06
1198700      5.79e-02    5.77e-02      4.97e-04    5.81e-04      3.00e-02    2.99e-02    2.7e-06
1198800      5.83e-02    6.56e-02      3.88e-04    9.07e-04      3.02e-02    3.38e-02    2.7e-06
1198900      6.10e-02    6.16e-02      6.74e-04    6.37e-04      3.14e-02    3.19e-02    2.7e-06
1199000      5.53e-02    6.26e-02      1.39e-03    1.39e-03      2.77e-02    3.17e-02    2.7e-06
1199100      5.52e-02    5.92e-02      4.82e-04    7.32e-04      2.85e-02    3.06e-02    2.7e-06
1199200      5.96e-02    8.56e-02      1.31e-03    9.58e-04      3.02e-02    4.43e-02    2.7e-06
1199300      5.89e-02    5.55e-02      6.48e-04    9.97e-04      3.05e-02    2.84e-02    2.7e-06
1199400      5.88e-02    5.56e-02      5.91e-04    4.69e-04      3.04e-02    2.88e-02    2.7e-06
1199500      5.78e-02    5.69e-02      1.18e-03    9.77e-04      2.93e-02    2.92e-02    2.7e-06
1199600      5.70e-02    7.40e-02      6.20e-04    8.41e-04      2.94e-02    3.83e-02    2.7e-06
1199700      5.45e-02    5.61e-02      8.21e-04    6.93e-04      2.80e-02    2.90e-02    2.7e-06
1199800      6.05e-02    5.87e-02      5.61e-04    5.75e-04      3.13e-02    3.04e-02    2.7e-06
1199900      1.12e-01    7.01e-02      1.66e-03    8.55e-04      5.75e-02    3.62e-02    2.7e-06
1200000      5.27e-02    6.21e-02      2.01e-04    9.05e-04      2.76e-02    3.22e-02    2.6e-06
1200100      5.53e-02    6.02e-02      3.76e-04    5.58e-04      2.90e-02    3.15e-02    2.6e-06
1200200      8.22e-02    5.25e-02      6.48e-04    5.20e-04      4.30e-02    2.74e-02    2.6e-06
1200300      6.26e-02    6.31e-02      1.44e-03    1.75e-03      3.18e-02    3.18e-02    2.6e-06
1200400      5.37e-02    8.53e-02      5.59e-04    1.91e-03      2.80e-02    4.35e-02    2.6e-06
1200500      6.33e-02    8.21e-02      9.00e-04    1.40e-03      3.29e-02    4.24e-02    2.6e-06
1200600      6.68e-02    5.53e-02      7.06e-04    7.88e-04      3.49e-02    2.87e-02    2.6e-06
1200700      6.35e-02    6.22e-02      2.51e-04    7.47e-04      3.33e-02    3.24e-02    2.6e-06
1200800      6.36e-02    5.69e-02      8.89e-04    1.64e-03      3.30e-02    2.86e-02    2.6e-06
1200900      7.98e-02    6.33e-02      1.51e-03    9.13e-04      4.11e-02    3.29e-02    2.6e-06
1201000      6.07e-02    1.07e-01      2.97e-04    7.41e-04      3.19e-02    5.61e-02    2.6e-06
1201100      6.41e-02    5.92e-02      3.78e-04    8.07e-04      3.36e-02    3.08e-02    2.6e-06
1201200      5.63e-02    6.03e-02      9.11e-04    1.09e-03      2.91e-02    3.11e-02    2.6e-06
1201300      5.32e-02    5.89e-02      1.75e-04    6.26e-04      2.79e-02    3.08e-02    2.6e-06
1201400      6.82e-02    5.70e-02      1.05e-03    1.90e-03      3.52e-02    2.81e-02    2.6e-06
1201500      5.59e-02    5.62e-02      7.10e-04    6.19e-04      2.91e-02    2.93e-02    2.6e-06
1201600      6.04e-02    6.45e-02      1.99e-03    1.35e-03      2.95e-02    3.31e-02    2.6e-06
1201700      6.13e-02    5.61e-02      8.37e-04    7.02e-04      3.18e-02    2.92e-02    2.6e-06
1201800      5.41e-02    6.05e-02      7.95e-04    8.34e-04      2.81e-02    3.14e-02    2.6e-06
1201900      5.83e-02    5.89e-02      5.98e-04    6.82e-04      3.05e-02    3.07e-02    2.6e-06
1202000      5.40e-02    9.95e-02      1.38e-03    2.37e-03      2.73e-02    5.07e-02    2.6e-06
1202100      5.40e-02    6.42e-02      5.51e-04    9.51e-04      2.81e-02    3.33e-02    2.6e-06
1202200      6.42e-02    5.37e-02      4.88e-04    5.59e-04      3.36e-02    2.80e-02    2.6e-06
1202300      6.54e-02    6.17e-02      3.45e-04    5.40e-04      3.43e-02    3.23e-02    2.6e-06
1202400      5.57e-02    5.91e-02      8.28e-04    9.91e-04      2.89e-02    3.06e-02    2.6e-06
1202500      5.63e-02    6.24e-02      7.09e-04    5.44e-04      2.92e-02    3.26e-02    2.6e-06
1202600      6.75e-02    5.80e-02      7.07e-04    8.27e-04      3.52e-02    3.02e-02    2.6e-06
1202700      5.59e-02    5.64e-02      5.15e-04    8.89e-04      2.92e-02    2.92e-02    2.6e-06
1202800      5.98e-02    5.89e-02      8.69e-04    8.21e-04      3.10e-02    3.07e-02    2.6e-06
1202900      5.27e-02    6.27e-02      6.06e-04    8.51e-04      2.75e-02    3.26e-02    2.6e-06
1203000      5.30e-02    5.61e-02      7.08e-04    1.11e-03      2.75e-02    2.88e-02    2.6e-06
1203100      6.11e-02    6.03e-02      5.90e-04    1.14e-03      3.19e-02    3.11e-02    2.6e-06
1203200      5.47e-02    1.03e-01      6.89e-04    1.38e-03      2.84e-02    5.37e-02    2.6e-06
1203300      5.81e-02    6.34e-02      1.43e-03    1.60e-03      2.93e-02    3.22e-02    2.6e-06
1203400      5.82e-02    5.49e-02      1.06e-03    9.02e-04      3.00e-02    2.84e-02    2.6e-06
1203500      6.27e-02    8.01e-02      1.50e-03    9.45e-04      3.18e-02    4.18e-02    2.6e-06
1203600      7.96e-02    5.63e-02      5.46e-04    7.19e-04      4.17e-02    2.93e-02    2.6e-06
1203700      6.74e-02    8.75e-02      6.31e-04    8.04e-04      3.51e-02    4.57e-02    2.6e-06
1203800      6.27e-02    5.61e-02      8.77e-04    6.10e-04      3.24e-02    2.93e-02    2.6e-06
1203900      6.78e-02    5.82e-02      1.30e-03    8.44e-04      3.49e-02    3.02e-02    2.6e-06
1204000      6.12e-02    5.86e-02      7.16e-04    5.63e-04      3.19e-02    3.06e-02    2.6e-06
1204100      7.43e-02    6.10e-02      7.62e-04    9.80e-04      3.86e-02    3.16e-02    2.6e-06
1204200      5.32e-02    6.07e-02      4.62e-04    6.87e-04      2.77e-02    3.17e-02    2.6e-06
1204300      5.73e-02    6.01e-02      1.19e-03    1.17e-03      2.93e-02    3.10e-02    2.6e-06
1204400      5.74e-02    5.65e-02      2.39e-04    5.03e-04      3.01e-02    2.96e-02    2.6e-06
1204500      7.59e-02    5.55e-02      1.50e-03    5.62e-04      3.89e-02    2.90e-02    2.6e-06
1204600      6.81e-02    1.22e-01      1.33e-03    2.45e-03      3.48e-02    6.27e-02    2.6e-06
1204700      5.78e-02    5.61e-02      6.75e-04    1.13e-03      3.01e-02    2.88e-02    2.6e-06
1204800      5.02e-02    5.89e-02      5.88e-04    9.19e-04      2.60e-02    3.05e-02    2.6e-06
1204900      5.52e-02    5.85e-02      4.42e-04    6.89e-04      2.89e-02    3.05e-02    2.6e-06
1205000      5.19e-02    5.90e-02      7.90e-04    1.30e-03      2.70e-02    3.05e-02    2.6e-06
1205100      8.46e-02    7.61e-02      1.25e-03    1.11e-03      4.41e-02    3.98e-02    2.6e-06
1205200      5.18e-02    5.99e-02      6.24e-04    4.83e-04      2.71e-02    3.17e-02    2.6e-06
1205300      5.58e-02    5.87e-02      9.72e-04    7.53e-04      2.89e-02    3.08e-02    2.6e-06
1205400      6.14e-02    1.12e-01      4.91e-04    1.53e-03      3.24e-02    5.88e-02    2.6e-06
1205500      6.02e-02    6.40e-02      2.42e-04    8.06e-04      3.18e-02    3.36e-02    2.6e-06
1205600      4.59e-02    5.95e-02      7.16e-04    1.03e-03      2.39e-02    3.10e-02    2.6e-06
1205700      5.87e-02    5.62e-02      3.41e-04    6.13e-04      3.11e-02    2.96e-02    2.6e-06
1205800      5.39e-02    6.27e-02      1.20e-03    1.09e-03      2.78e-02    3.27e-02    2.6e-06
1205900      5.50e-02    5.73e-02      1.37e-03    1.82e-03      2.82e-02    2.88e-02    2.6e-06
1206000      5.48e-02    5.77e-02      6.79e-04    1.00e-03      2.87e-02    3.01e-02    2.6e-06
1206100      5.67e-02    5.62e-02      5.84e-04    6.01e-04      2.98e-02    2.96e-02    2.6e-06
1206200      5.82e-02    5.96e-02      2.78e-04    8.02e-04      3.08e-02    3.13e-02    2.6e-06
1206300      5.52e-02    7.25e-02      6.09e-04    1.37e-03      2.88e-02    3.77e-02    2.6e-06
1206400      6.21e-02    6.07e-02      8.03e-04    5.97e-04      3.24e-02    3.20e-02    2.6e-06
1206500      5.16e-02    5.98e-02      6.59e-04    8.01e-04      2.71e-02    3.14e-02    2.6e-06
1206600      4.98e-02    5.55e-02      5.26e-04    7.06e-04      2.62e-02    2.92e-02    2.6e-06
1206700      5.78e-02    5.31e-02      4.32e-04    5.02e-04      3.05e-02    2.80e-02    2.6e-06
1206800      5.85e-02    5.72e-02      1.34e-03    9.24e-04      3.02e-02    2.99e-02    2.6e-06
1206900      6.20e-02    6.04e-02      7.92e-04    1.18e-03      3.23e-02    3.14e-02    2.6e-06
1207000      7.58e-02    6.11e-02      3.21e-04    6.51e-04      4.01e-02    3.22e-02    2.6e-06
1207100      5.77e-02    6.06e-02      1.23e-03    1.57e-03      2.98e-02    3.10e-02    2.6e-06
1207200      5.15e-02    5.82e-02      4.32e-04    7.28e-04      2.72e-02    3.06e-02    2.6e-06
1207300      9.87e-02    5.81e-02      6.43e-04    8.17e-04      5.21e-02    3.05e-02    2.6e-06
1207400      6.44e-02    5.13e-02      5.00e-04    6.89e-04      3.39e-02    2.69e-02    2.6e-06
1207500      6.09e-02    6.08e-02      2.33e-04    6.09e-04      3.23e-02    3.21e-02    2.6e-06
1207600      6.62e-02    7.22e-02      3.31e-03    3.82e-03      3.01e-02    3.21e-02    2.6e-06
1207700      5.73e-02    5.90e-02      4.91e-04    7.82e-04      3.02e-02    3.10e-02    2.6e-06
1207800      6.20e-02    5.59e-02      6.92e-04    7.42e-04      3.26e-02    2.94e-02    2.6e-06
1207900      5.29e-02    7.94e-02      6.25e-04    1.01e-03      2.77e-02    4.17e-02    2.6e-06
1208000      5.69e-02    5.82e-02      9.92e-04    9.51e-04      2.95e-02    3.04e-02    2.6e-06
1208100      2.08e-01    1.35e-01      3.26e-03    1.00e-03      1.09e-01    7.15e-02    2.6e-06
1208200      5.66e-02    5.47e-02      5.91e-04    8.17e-04      2.98e-02    2.87e-02    2.6e-06
1208300      5.91e-02    5.46e-02      6.83e-04    8.32e-04      3.09e-02    2.86e-02    2.6e-06
1208400      6.26e-02    5.76e-02      7.04e-04    7.45e-04      3.28e-02    3.03e-02    2.6e-06
1208500      6.94e-02    6.14e-02      1.30e-03    9.51e-04      3.59e-02    3.21e-02    2.6e-06
1208600      6.34e-02    5.57e-02      4.16e-04    8.19e-04      3.35e-02    2.92e-02    2.6e-06
1208700      5.91e-02    5.88e-02      3.73e-04    8.33e-04      3.13e-02    3.09e-02    2.6e-06
1208800      6.36e-02    6.05e-02      1.27e-03    7.81e-04      3.28e-02    3.18e-02    2.6e-06
1208900      4.76e-02    6.82e-02      6.39e-04    1.10e-03      2.49e-02    3.56e-02    2.6e-06
1209000      6.48e-02    8.10e-02      7.40e-04    1.18e-03      3.40e-02    4.24e-02    2.6e-06
1209100      2.38e-01    5.42e-02      4.26e-03    5.45e-04      1.24e-01    2.86e-02    2.6e-06
1209200      5.60e-02    1.55e-01      1.70e-03    2.06e-03      2.81e-02    8.16e-02    2.6e-06
1209300      5.86e-02    5.81e-02      1.10e-03    1.34e-03      3.04e-02    2.99e-02    2.6e-06
1209400      6.13e-02    5.54e-02      5.02e-04    6.99e-04      3.23e-02    2.91e-02    2.6e-06
1209500      6.44e-02    6.00e-02      7.20e-04    7.47e-04      3.38e-02    3.15e-02    2.6e-06
1209600      4.97e-02    5.80e-02      3.82e-04    8.39e-04      2.62e-02    3.04e-02    2.6e-06
1209700      5.73e-02    5.86e-02      5.60e-04    1.19e-03      3.02e-02    3.04e-02    2.6e-06
1209800      6.08e-02    5.85e-02      6.38e-04    6.91e-04      3.20e-02    3.08e-02    2.6e-06
1209900      6.05e-02    5.89e-02      6.88e-04    7.75e-04      3.18e-02    3.09e-02    2.6e-06
